entity_id,region,income_group_current
KGZ,Europe & Central Asia,Lower middle income
KHM,East Asia & Pacific,Lower middle income
KIR,East Asia & Pacific,Lower middle income
KNA,Latin America & Caribbean ,High income
KOR,East Asia & Pacific,High income
KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income
LAO,East Asia & Pacific,Lower middle income
LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
LBR,Sub-Saharan Africa ,Low income
LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
LCA,Latin America & Caribbean ,Upper middle income
LIE,Europe & Central Asia,High income
LKA,South Asia,Upper middle income
LSO,Sub-Saharan Africa ,Lower middle income
LTU,Europe & Central Asia,High income
LUX,Europe & Central Asia,High income
LVA,Europe & Central Asia,High income
MAC,East Asia & Pacific,High income
MAF,Latin America & Caribbean ,High income
MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
MCO,Europe & Central Asia,High income
MDA,Europe & Central Asia,Upper middle income
MDG,Sub-Saharan Africa ,Low income
MDV,South Asia,Upper middle income
MEX,Latin America & Caribbean ,Upper middle income
MHL,East Asia & Pacific,Upper middle income
MKD,Europe & Central Asia,Upper middle income
MLI,Sub-Saharan Africa ,Low income
MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income
MMR,East Asia & Pacific,Lower middle income
MNE,Europe & Central Asia,Upper middle income
MNG,East Asia & Pacific,Upper middle income
MNP,East Asia & Pacific,High income
MOZ,Sub-Saharan Africa ,Low income
MRT,Sub-Saharan Africa ,Lower middle income
MUS,Sub-Saharan Africa ,Upper middle income
MWI,Sub-Saharan Africa ,Low income
MYS,East Asia & Pacific,Upper middle income
NAM,Sub-Saharan Africa ,Lower middle income
NCL,East Asia & Pacific,High income
NER,Sub-Saharan Africa ,Low income
NGA,Sub-Saharan Africa ,Lower middle income
NIC,Latin America & Caribbean ,Lower middle income
NLD,Europe & Central Asia,High income
NOR,Europe & Central Asia,High income
NPL,South Asia,Lower middle income
NRU,East Asia & Pacific,High income
NZL,East Asia & Pacific,High income
OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income
PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PAN,Latin America & Caribbean ,High income
PER,Latin America & Caribbean ,Upper middle income
PHL,East Asia & Pacific,Upper middle income
PLW,East Asia & Pacific,High income
PNG,East Asia & Pacific,Lower middle income
POL,Europe & Central Asia,High income
PRI,Latin America & Caribbean ,High income
PRK,East Asia & Pacific,Low income
PRT,Europe & Central Asia,High income
PRY,Latin America & Caribbean ,Upper middle income
PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PYF,East Asia & Pacific,High income
QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income
ROU,Europe & Central Asia,High income
RUS,Europe & Central Asia,High income
RWA,Sub-Saharan Africa ,Low income
SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income
SDN,Sub-Saharan Africa ,Low income
SEN,Sub-Saharan Africa ,Lower middle income
SGP,East Asia & Pacific,High income
SLB,East Asia & Pacific,Lower middle income
SLE,Sub-Saharan Africa ,Low income
SLV,Latin America & Caribbean ,Upper middle income
SMR,Europe & Central Asia,High income
SOM,Sub-Saharan Africa ,Low income
SRB,Europe & Central Asia,Upper middle income
SSD,Sub-Saharan Africa ,Low income
STP,Sub-Saharan Africa ,Lower middle income
SUR,Latin America & Caribbean ,Upper middle income
SVK,Europe & Central Asia,High income
SVN,Europe & Central Asia,High income
SWE,Europe & Central Asia,High income
SWZ,Sub-Saharan Africa ,Lower middle income
SXM,Latin America & Caribbean ,High income
SYC,Sub-Saharan Africa ,High income
SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
TCA,Latin America & Caribbean ,High income
TCD,Sub-Saharan Africa ,Low income
TGO,Sub-Saharan Africa ,Lower middle income
THA,East Asia & Pacific,Upper middle income
TJK,Europe & Central Asia,Lower middle income
TKM,Europe & Central Asia,Upper middle income
TLS,East Asia & Pacific,Lower middle income
TON,East Asia & Pacific,Upper middle income
TTO,Latin America & Caribbean ,High income
TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,Europe & Central Asia,Upper middle income
TUV,East Asia & Pacific,Upper middle income
TZA,Sub-Saharan Africa ,Lower middle income
UGA,Sub-Saharan Africa ,Low income
UKR,Europe & Central Asia,Upper middle income
URY,Latin America & Caribbean ,High income
USA,North America,High income
UZB,Europe & Central Asia,Lower middle income
VCT,Latin America & Caribbean ,Upper middle income
VEN,Latin America & Caribbean ,Lower middle income
VGB,Latin America & Caribbean ,High income
VIR,Latin America & Caribbean ,High income
VNM,East Asia & Pacific,Upper middle income
VUT,East Asia & Pacific,Lower middle income
WSM,East Asia & Pacific,Upper middle income
XKX,Europe & Central Asia,Upper middle income
YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ZAF,Sub-Saharan Africa ,Upper middle income
ZMB,Sub-Saharan Africa ,Lower middle income
ZWE,Sub-Saharan Africa ,Lower middle income
